task,method,feature,importance_mean,importance_std
multiclass,rf_gini,n_robots,0.04596302960396716,0.0
multiclass,rf_gini,path_length,0.057530710810519296,0.0
multiclass,rf_gini,alpha,0.02273259395204759,0.0
multiclass,rf_gini,beta,0.023060908135130016,0.0
multiclass,rf_gini,gamma,0.014434638719257202,0.0
multiclass,rf_gini,energy_budget,0.06707898429100712,0.0
multiclass,rf_gini,communication_radius,0.01592073732193522,0.0
multiclass,rf_gini,connectivity_threshold,0.31522945462457114,0.0
multiclass,rf_gini,map_height,0.0,0.0
multiclass,rf_gini,map_width,0.0,0.0
multiclass,rf_gini,obstacle_frac,0.0,0.0
multiclass,rf_gini,unexplored_frac,0.0,0.0
multiclass,rf_gini,start_mean_pairwise_manhattan,0.014041784123051057,0.0
multiclass,rf_gini,start_min_pairwise_manhattan,0.06155800653586958,0.0
multiclass,rf_gini,start_mean_pairwise_euclidean,0.020976116476715313,0.0
multiclass,rf_gini,start_min_pairwise_euclidean,0.06790542443352214,0.0
multiclass,rf_gini,start_connectivity_edge_frac,0.27356761097240717,0.0
multiclass,permutation_f1_macro,n_robots,0.006404936017351792,0.0006641710792990976
multiclass,permutation_f1_macro,path_length,0.0399918832018795,0.001982224596281334
multiclass,permutation_f1_macro,alpha,0.01843513462905231,0.0008297147449686988
multiclass,permutation_f1_macro,beta,0.018110715172874547,0.0010393328328189894
multiclass,permutation_f1_macro,gamma,0.010119595589380137,0.00041016563480402135
multiclass,permutation_f1_macro,energy_budget,0.04663755381342871,0.0024683542657303018
multiclass,permutation_f1_macro,communication_radius,0.010214135488678777,0.0004933692325019666
multiclass,permutation_f1_macro,connectivity_threshold,0.2441062568525596,0.0038817807396711204
multiclass,permutation_f1_macro,map_height,0.0,0.0
multiclass,permutation_f1_macro,map_width,0.0,0.0
multiclass,permutation_f1_macro,obstacle_frac,0.0,0.0
multiclass,permutation_f1_macro,unexplored_frac,0.0,0.0
multiclass,permutation_f1_macro,start_mean_pairwise_manhattan,0.005165251060413966,0.0006784848140573654
multiclass,permutation_f1_macro,start_min_pairwise_manhattan,0.002529199466723364,0.001043945660094318
multiclass,permutation_f1_macro,start_mean_pairwise_euclidean,0.005035944752407384,0.000701177892616166
multiclass,permutation_f1_macro,start_min_pairwise_euclidean,0.0031940979081408914,0.000722939785591093
multiclass,permutation_f1_macro,start_connectivity_edge_frac,0.25684381092664366,0.005229091694053783
aco_vs_sa,permutation_f1_macro,n_robots,0.003034090964467717,0.000251159253588145
aco_vs_sa,permutation_f1_macro,path_length,0.011422706554201878,0.0006987132673196504
aco_vs_sa,permutation_f1_macro,alpha,0.005826528508862805,0.00016966097076979468
aco_vs_sa,permutation_f1_macro,beta,0.005656922264364206,5.567392615961841e-05
aco_vs_sa,permutation_f1_macro,gamma,0.00512676531750964,0.0002338447417137535
aco_vs_sa,permutation_f1_macro,energy_budget,0.012326014338531532,0.0006957067380305846
aco_vs_sa,permutation_f1_macro,communication_radius,0.0047969250407853044,6.293218091031287e-05
aco_vs_sa,permutation_f1_macro,connectivity_threshold,0.034629933922677526,0.0013046107027912253
aco_vs_sa,permutation_f1_macro,map_height,0.0,0.0
aco_vs_sa,permutation_f1_macro,map_width,0.0,0.0
aco_vs_sa,permutation_f1_macro,obstacle_frac,0.0,0.0
aco_vs_sa,permutation_f1_macro,unexplored_frac,0.0,0.0
aco_vs_sa,permutation_f1_macro,start_mean_pairwise_manhattan,0.0029093865125497274,0.00044632010109856
aco_vs_sa,permutation_f1_macro,start_min_pairwise_manhattan,0.0015215770549608988,0.0004145847261086017
aco_vs_sa,permutation_f1_macro,start_mean_pairwise_euclidean,0.002971301021910855,0.0001784837624451984
aco_vs_sa,permutation_f1_macro,start_min_pairwise_euclidean,0.0014963836224689997,0.0004172789664148728
aco_vs_sa,permutation_f1_macro,start_connectivity_edge_frac,0.22819835218246523,0.002020788473513329
