f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
2.0,59.0,8611.21859931013,166.04913780630724,2.472868566525415,59.0,9.287826954795886,14.102810829474485,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,157.64634772506,129.91037240509928,94.03557488039783,0.23818540100000973,4.421831235999974,9.933331109000022,50,109703
2.0,76.0,2171.9889492241705,216.52926841362174,7.670897215562958,76.0,11.789665953633182,23.597922022433544,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,51.90638503004678,39.321231158805524,29.8876755171394,0.2743463019999979,5.577999097999992,11.217304356999989,50,49865
2.0,138.0,10545.861871680665,361.7457551487228,6.584281609961116,138.0,19.29010214226942,16.165213674633122,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,101.79505705068979,99.48729736462035,61.65597356438323,0.46430641899999614,8.771418252000018,22.24321404700001,50,89757
5.0,70.0,2542.7783135273676,114.27863641768607,7.251578883830058,70.0,8.984562637017996,11.679897824359394,20.0,20.0,0.0,1.0,18.2,9.0,14.828761827158445,6.4031242374328485,0.3,aco,309.02883978334364,819.0855471910439,191.9372992644706,0.7581382150000024,15.346034813000017,29.904836275999997,50,59838
5.0,79.0,4900.619579618717,907.2542707922419,6.960501156073445,79.0,7.036458224842913,10.859272533016558,20.0,20.0,0.0,1.0,18.2,9.0,14.828761827158445,6.4031242374328485,0.3,aco,1278.116709139092,685.5796379043895,411.12807298845246,0.8186648460000185,17.025881234999986,31.27533877100001,50,79784
3.0,40.0,13385.454902505884,525.5782704057443,5.854068238034638,40.0,12.165192742925917,14.952837804656808,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,253.1856757840988,202.33458827231766,145.44213260457101,0.4594432549999965,5.967538330999986,11.372911720000019,50,139622
3.0,84.0,1571.115696969531,1165.2845038678413,3.7024066760111887,84.0,18.60104342370878,17.607924071951963,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,40.74709280205526,37.14518604671635,32.06809506942739,0.5232010510000009,13.410920506999986,23.20007063600002,50,119676
2.0,128.0,2958.8803550379803,684.3954958242866,8.469325201920352,128.0,15.559568250172717,8.354037363638886,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,78.6491601202511,55.82849788402428,39.831454836014274,0.40349627500000906,11.703780609999995,22.932615454,50,129649
5.0,82.0,6391.778317725749,116.56465488229952,1.9692891200486573,82.0,6.885785803294573,11.41338729286458,20.0,20.0,0.0,1.0,18.2,9.0,14.828761827158445,6.4031242374328485,0.3,aco,156.0380978039185,338.03526532082435,77.534610669268,0.937147619000001,18.140814336999995,33.203396036000015,50,39892
6.0,73.0,1970.082440137581,1490.9752201642932,4.513254209740358,73.0,24.70211464060994,14.98622053874257,20.0,20.0,0.0,1.0,19.133333333333333,9.0,15.357413855244838,6.4031242374328485,0.4666666666666667,aco,26.311116577800114,24.278137323472556,17.767152424855038,1.0238259220000145,23.245594803000017,33.567983984999984,50,19946
4.0,131.0,1658.7977085111518,1371.6919349858053,9.571580064170522,131.0,18.382060112286155,20.358682335684275,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,1.0,aco,25.43263332962593,23.058412382670802,17.832880335995114,1.2070333519999963,22.75184981999999,41.41866313799997,50,69811
4.0,131.0,2718.2712547809288,160.26626946194895,3.732037155145007,131.0,10.10296246169927,6.831259929417306,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,0.16666666666666666,sa,2416.853343332781,2602.2733844174268,4347.456829428304,1.3732103049999864,22.994280771000007,42.414759050000015,50,99730
4.0,135.0,3624.9889295765015,229.02887570187988,0.753409493210363,135.0,23.887189236237436,6.955263279520809,20.0,20.0,0.0,1.0,14.5,9.0,12.191941516243121,6.4031242374328485,0.16666666666666666,ga,880.7858050478196,763.3872847111153,1057.5549796265423,1.8618403629999989,23.184324238999977,42.705126433000004,50,29919
5.0,112.0,2228.1339747097286,797.8522639370572,7.088715553550701,112.0,21.581297158598133,8.995269733994293,20.0,20.0,0.0,1.0,18.2,9.0,14.828761827158445,6.4031242374328485,0.2,sa,3593.9925795217537,3651.840702922716,5150.860117976709,1.628732982999992,25.940503121999996,42.381416058999974,50,9973
2.0,107.0,10470.282537922243,886.9487620974138,9.53192635304165,107.0,9.19171181223596,22.07849710093645,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,1.0,aco,157.24545491147705,168.1809991133204,97.60539952314397,0.3853215200000193,9.119904025000011,20.546499836000038,50,159568
6.0,107.0,2107.385834731457,111.98715939858805,0.6570125375210264,107.0,21.452134544805176,23.342355968276713,20.0,20.0,0.0,1.0,19.133333333333333,9.0,15.357413855244838,6.4031242374328485,1.0,aco,10.6006308013449,10.292791843912788,6.45406725416999,1.6251066539999783,35.129206552,46.39342722799998,50,0
3.0,72.0,1033.043602155333,167.65434009036886,7.4514480397912575,72.0,9.520182190698913,18.007228558593933,20.0,20.0,0.0,1.0,13.333333333333334,10.0,10.960818704235791,7.0710678118654755,1.0,aco,18.843557224347418,16.322471384272227,11.158597207725846,0.3774490319999586,10.274545075999981,18.890184662000024,50,229379
