f_n_robots,f_path_length,f_alpha,f_beta,f_gamma,f_energy_budget,f_communication_radius,f_connectivity_threshold,f_map_height,f_map_width,f_obstacle_frac,f_unexplored_frac,f_start_mean_pairwise_manhattan,f_start_min_pairwise_manhattan,f_start_mean_pairwise_euclidean,f_start_min_pairwise_euclidean,f_start_connectivity_edge_frac,label,sa_cost,ga_cost,aco_cost,sa_sec,ga_sec,aco_sec,budget,seed
6.0,115.0,3844.0539907146444,154.42574699431438,8.806548228068692,115.0,6.954301979999629,14.426517378071024,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.8666666666666667,aco,19.987891481517977,19.371736459107577,11.935469782649283,2.8006076009987737,36.9657323729989,41.32183911000175,50,131194815
5.0,83.0,7862.817442883348,107.49753927200895,2.6556374496707424,83.0,18.94783625359569,7.597190257628518,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,ga,148.241978991593,55.51630306715309,595.2410184449718,1.3452923520017066,20.190090090000012,30.75096930500149,50,153255091
3.0,84.0,1707.3102844024281,138.45726271651756,6.877326802328721,84.0,17.03855743815044,6.313468127097359,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,0.6666666666666666,ga,34.99633894041096,22.32924397612679,476.5697536195145,1.4030792889971053,11.199126087005425,19.34919409899885,50,127275426
5.0,135.0,7642.665370108182,119.62877997058597,8.849876793161014,135.0,23.990707735868025,6.035536199865159,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.4,ga,9768.612884655779,38.34191842025758,13082.264208251449,2.84122975199989,24.179153768000106,32.98819874899982,50,10441731
2.0,129.0,1672.832159208912,1037.6501494571548,1.3822485588669737,129.0,7.588090059990743,6.210186530412813,20.0,20.0,0.0,1.0,10.0,10.0,7.0710678118654755,7.0710678118654755,0.0,sa,75.41848042469445,175.355901298293,181.01022656187706,0.8120373109995853,9.99860929598799,21.19354885201028,50,636137778
6.0,134.0,8716.413027123823,982.6208000163396,2.5577083724135306,134.0,6.0715133870806035,6.305128354880909,20.0,20.0,0.0,1.0,9.666666666666666,5.0,8.292351434095748,5.0,0.4,ga,1720.65430416536,57.32609228630717,6068.968254575869,7.486005565000596,34.448573009998654,39.05999517700002,50,33878281
3.0,91.0,14438.512698074048,1053.099025347359,9.017829747766152,91.0,10.289676013039363,19.534605077874218,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,aco,148.88618682990293,165.56488782659753,93.43592277515442,0.48033622200455284,11.309321925000404,22.121487304997572,50,107887914
5.0,81.0,4243.8142748627715,698.3606394154693,8.18972547126472,81.0,11.397320922066633,7.830735435537839,20.0,20.0,0.0,1.0,10.0,5.0,8.906279600020632,5.0,0.5,ga,181.0392193264351,37.08126065679289,826.9643589596803,1.0390042039998661,14.241822571999364,20.61793341000157,50,29649729
3.0,98.0,15372.18496184442,348.816443191444,9.455948089383703,98.0,6.688573353371648,8.200720819003026,20.0,20.0,0.0,1.0,6.666666666666667,5.0,5.6903559372884915,5.0,1.0,ga,218.72367773830632,142.85175041294966,239.24063837676715,0.5420096599991666,10.131163473000015,19.80520829299985,50,18918781
4.0,118.0,9902.250539612256,363.42065424059734,1.8522519963359876,118.0,19.863214684574476,14.419653604355073,20.0,20.0,0.0,1.0,8.333333333333334,5.0,7.2085679498940705,5.0,1.0,aco,64.8582617748363,53.15582326178337,35.74603962219016,0.9277485880011227,18.471741294997628,30.178808755998034,50,187003723
